already_seen_list
Shade20
TheDeadChicken
Taran
Diní
MrDoginabog
Hecksteer
Moyster
DarkBlazy
me wetodded
Kaiscis
africanColonizer
der
Noboho
Axivy
Tirvas
zac3131313131
Yoimiya simp
lordbaicai5
Servant Saber
Ace poor kid
SKMagikarp
RiceŁover
WILLACONG
xenonx2GG
zapdos750
Treebéard
LiL UDON
LiL ODEN
DuduBubu
GigaPuddy
fluffyfu
ZThunder
Mr ripper father
JW990119FF
White3zZzzz
clairvoyant IH
JoeCSean
Golden Spin
SxxkU
Ronzoni
Kenovi
VGBC PPMD
kazekagee
DS777
HumHumHaHa
GIVE HEI BUFF
MeowPaws
Thresh man 
Alison was here
iLamchop
sadboikevv
6GrainsOfRice
crœsus
xXwicked witchXx
Laptop
HQkuroki
The Proƒessor
p ıı g
h ï p p o
Gerald of Riven
Bannit Chopper
A Fuzzy Cat
Craftedswift
Tokamango
nuugetts
Pandanie
JISOOnamchin
Jμneº
ImWIthreDsaPphir
NibblyGribbit
Esotero
MasterJ95
ARAM Researcher
SerPrisMuthaFuka
l Abyss l
HexedDemon
opop MYop
Yoshimitsu
crunhy18
Natural Flavors
Dınesh
Tim Elemon
Team with Morons
piapiabiubiu
op8nWC288R
Restfal
Espurr
I IA I
maxes
LeagueOfALegend
Nietono
Gametophyte
Zephyr1a
toemato99
DawaRudo
SKT T1 Dragon11
lDidntHearNoBell
Kuudere simp
UykNim
December 7th
Numalasi
sulpsulpc
Kobe B Mamba
Javan
celena
he4rt
Horrid
My snow
Km1er Cat
Bfate
Weakside Midlane
Chinese Thresh
GoIdenPig
ibukisama
Osok
WaterS0lid
Yaamo
SnowOnion
Soupisgood
GameCoach
JacobiMethod
Thylako
wat in tarnation
imperfect love
sushıı
it vipex
Hóóked
R3Dzilla
spartacusben
Oniichan1928
Mlgz
Dabble
MasterRainbows
Venos
chencm1803
ILuvWeasels
Khaniel
Newblesoup
Riot Sirhaian
Hifumi Togo
Usherants
dahhyung
Thresh Bøt
I DIED
WH Pieman
ME MY LANE AND I
Muhammads AK47
Harry Potter 01
CLG Armis
clockwork0
FatesGambit
